500 15
948 132 44
1444 460 45
12439 430 1
14335 246 39
31901 420 23
32950 339 7
34092 494 1
35608 47 5
38637 146 81
51655 77 53
54919 174 11
56312 348 28
58988 396 29
60158 172 49
64302 414 9
0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 56312 3 364
6 1444 40 7
7 1444 41 333
8 60158 27 306
9 0 0 0
10 0 0 0
11 38637 33 12
12 38637 34 13
13 38637 35 466
14 60158 2 160
15 0 0 0
16 1444 4 130
17 1444 15 374
18 60158 14 294
19 1444 36 185
20 38637 20 21
21 38637 21 22
22 38637 22 23
23 38637 23 24
24 38637 24 25
25 38637 25 26
26 38637 26 452
27 64302 8 442
28 1444 21 369
29 0 0 0
30 56312 13 464
31 1444 29 315
32 60158 6 200
33 0 0 0
34 1444 43 443
35 64302 7 27
36 1444 27 37
37 1444 28 31
38 56312 11 288
39 0 0 0
40 38637 60 41
41 38637 61 42
42 38637 62 43
43 38637 63 44
44 38637 64 285
45 56312 22 385
46 1444 23 337
47 35608 1 48
48 35608 2 49
49 35608 3 50
50 35608 4 51
51 35608 5 1
52 64302 6 35
53 1444 35 19
54 56312 6 159
55 1444 17 450
56 31901 9 57
57 31901 10 58
58 31901 11 59
59 31901 12 60
60 31901 13 61
61 31901 14 62
62 31901 15 63
63 31901 16 64
64 31901 17 65
65 31901 18 66
66 31901 19 67
67 31901 20 68
68 31901 21 69
69 31901 22 70
70 31901 23 1
71 1444 7 388
72 38637 55 73
73 38637 56 74
74 38637 57 75
75 38637 58 76
76 38637 59 40
77 51655 1 78
78 51655 2 79
79 51655 3 80
80 51655 4 81
81 51655 5 82
82 51655 6 83
83 51655 7 84
84 51655 8 85
85 51655 9 86
86 51655 10 87
87 51655 11 88
88 51655 12 89
89 51655 13 90
90 51655 14 91
91 51655 15 92
92 51655 16 93
93 51655 17 94
94 51655 18 95
95 51655 19 96
96 51655 20 97
97 51655 21 98
98 51655 22 99
99 51655 23 100
100 51655 24 101
101 51655 25 102
102 51655 26 103
103 51655 27 104
104 51655 28 105
105 51655 29 106
106 51655 30 107
107 51655 31 108
108 51655 32 109
109 51655 33 110
110 51655 34 111
111 51655 35 112
112 51655 36 113
113 51655 37 114
114 51655 38 115
115 51655 39 116
116 51655 40 117
117 51655 41 118
118 51655 42 119
119 51655 43 120
120 51655 44 121
121 51655 45 122
122 51655 46 123
123 51655 47 124
124 51655 48 125
125 51655 49 126
126 51655 50 127
127 51655 51 128
128 51655 52 129
129 51655 53 1
130 1444 5 232
131 0 0 0
132 948 1 133
133 948 2 134
134 948 3 135
135 948 4 136
136 948 5 137
137 948 6 138
138 948 7 139
139 948 8 214
140 60158 5 32
141 0 0 0
142 1444 3 16
143 0 0 0
144 60158 25 300
145 0 0 0
146 38637 1 147
147 38637 2 148
148 38637 3 149
149 38637 4 150
150 38637 5 151
151 38637 6 152
152 38637 7 296
153 56312 21 45
154 1444 10 238
155 56312 27 190
156 56312 26 155
157 0 0 0
158 56312 17 347
159 56312 7 375
160 60158 3 244
161 948 23 162
162 948 24 163
163 948 25 164
164 948 26 165
165 948 27 166
166 948 28 167
167 948 29 168
168 948 30 444
169 60158 30 188
170 56312 10 38
171 0 0 0
172 60158 1 14
173 0 0 0
174 54919 1 175
175 54919 2 176
176 54919 3 177
177 54919 4 178
178 54919 5 179
179 54919 6 180
180 54919 7 181
181 54919 8 182
182 54919 9 183
183 54919 10 184
184 54919 11 1
185 1444 37 293
186 1444 9 154
187 0 0 0
188 60158 31 212
189 1444 13 227
190 56312 28 1
191 1444 33 194
192 60158 34 394
193 0 0 0
194 1444 34 53
195 60158 16 350
196 56312 2 5
197 1444 45 1
198 0 0 0
199 0 0 0
200 60158 7 220
201 0 0 0
